Review	Liked
ConsDisplayComeswithwaterdropnotchandnoticablebezzels.Chargeryouhavetospendadditionalonitschargerasgreedysamsungwontprovideforit.Theytellyouitsforenvironmentwhichistotalbullshitastheyuseevenmoreresourcesinadditionalpackagingetc.Cameralacksultrawidecamera.NotforGaming.ProsdisplayQualityofPLSLCDisreallygoodyouwillenjoyvideoqualityinthis.speakereventhouithasonespeakeritsreallyloudandclystalclear.callqualityitstopnotchasthishastwomicandtheyalsoprovidepremiumsamsungfeaturevoicefocusinthisalsonetworkisverystable.cameraOnlyonecameraisusefulwhileothertwoworkliketheyarefordisplayimageprocessingandvideoqualityisreallygood.	1
For day to day use this smartphone is easily capable of doing all things  if you use your phone as a tool that is. It will deliver all your needs. Though with some lags here and there you will not regret it because of the   k price bracket. Battery almost gets   full day on normal use with  G. If you use your ur phone all day then you have to charge in the middle. Simple games also runs effectively but not for heavy games like BGMI only gives   fps  though its very clear this smartphone is not targeted for gaming audience. If u want a budget phone to do daily stuff browsing  social media  whatsapp  payments  camera etc with good after sales service and from a prominent brand with no bugs and glitches here and there then u won t have any issue. Good for old people too.	1
I brought it for my mom. It s a very good smart phone. Camera quality is very good and image processing of Samsung is nice. Battery performance is excellent. Processor of this phone is good for day to day tasks. My mother is very much impressed with call quality. Only drawback is there is no charging adaptor in the box. I had purchased it separately with 9 rs..	1
I have bought this phone as a temprary replacement for my S   after that phone developed display issues. So far its xoing well. The standout point of this phone is its excellent battery. My S   usually lasted about      hrs on medium usage. This phone however has lasted     hours.I will update about the other features some days later.	1
display is pretty  but call quality is bit compromised for budget i think  batteryfast charging for namesake   G connectivity are good  camera is average  single speaker is nothing to be singled out but sound via headphones i use Bluetooth jbl  boat  is great and can do quite a bit of heavy gaming ...my verdict....shed a bit more money if one can and go for redmi     G.	1
Mobile battery camera and ram is good  thank you amazon fast delivery  mobile is over heating and no provide the power adaptor take the complaint and forward the mail samsung company  very bad   k investment and take the mobile but not provided charger adaptor    v power adaptor provide the all samsung mobies please	1
Justifying price. Carrier aggregation is available in  G. Battery life is great. Feels smoth.  G network is also good. Camera is good considering in this price. Phone is little heavier side. Network speed feature is not there.This phone is for medium  users. Samsung should provide fast charger   back cover.	1
bulky  fast charging for namesake  no status light  audio quality not good	1
Good in battery backupHeavy weightSlow phone  not fast as   gb ramCamera quality should be betterSpecially front camera during videocall	1
Phone is overall good having lots of features   but the material used in back feels bit cheaper . Phone official weight is   grams but the weight distribution makes it easier and light to carry   fonts and wallpapers are paid not more options  colour pallete is available only on default theme   camera quality is impressive i think best camera in this range   battery is also good just charge it once a day and forget for   days   software and hardware performance is excellent  little bit warmed up on heavy task bt u can egnore it   I prefer the   GB Ram variant .	1
I m using for the past   days.Pros  Though weight is around  gms  weight distribution is excellent. Build is sturdy  g works fine.  Battery is excellent.  screen is brighter than IPS panel.Manageable under direct sunlight although don t expect amoled level vibes.  speaker is suprisingly loud and clear.Cons Only thing that let thisphone down is the Exynos processor. It has thermal throttling issue. It gets warmer quickly when u push the phone . Which I won t expect from samsung but alas it s Exynos processor it is the way it is.So if u are a light users who uses the phone only for multimedia social media and taking calls and average level of multitasking. In short if u are a light user go for it.	1
By buying this product you are purchasing the best phone under  k which is not Chinese . I would recommend all to kindly avoid Chinese made cellphone though they are manufacturing in India . It s a joy to see that Samsung is also making phone in India. the only regret is that they don t provide charger which should have come at this price.	1
I am a regular user  writing this review after use of one week. Battery last up to      days which is very good. Both cameras back   front  are very good. Colour quality is nice. Build quality is also nice  I have not observed any heating issue while charging or using the phone. Only thing is missing is charger  which has to be provided along with the phone for better life of phone. For not providing the charger I am giving   stars else it would be   stars.	1
It s worth for money in this price range  performance of the mobile and the camera is   	1
Best budget phone  charger not included is drawback	1
Nice product from Samsung  camera  battery are good. Battery coming for   day   .  days for me	1
Best Battery    Phone under   k right now.As of Now due to unstable  G network and Lack of VoNR network phone switches between VoLTE and  G thats why power consumption has been increased hence resulting in fast battery draining than expected.I hope samsung will soon rollout VoNR support for this.Camera is Decent Not a Great Camera Phone TBHProcessor is superb For this price rangeHas Audio Jack  . mm Bonus PointYou have to purchase the adapter   W by Original Samsung ReccomendedTry to apply bak offers and Exchange so that you ll get it at the best price	1
It s having heating issue a bit. When you open   or   apps together then the heating issue occur  rest phone is all ok.	1
After all the hype around this phone. I must say i am disappointed with this because of how bad it feels in hand...The in hand feel of this phone is not good at all. it is bulky and doesn t enhance your media consumption experience.Comes preloaded with unnecessary apps and its quite a hassle. The sound output is on the lower side as well.  G is not good either. The device is not supported by airtel check airtel  g compatible phone list before you buy	1
Nice phone	1
Good product	1
Why is samsung not giving charger to this phone. We need to buy it differently  Useless policy  Nothing environment friendly in this policy. If a customer dosent have adapter he needs to buy it. It will put extra burden on environment as the delivery truck will move one more time. It is helping env. or destroying it.Phone is good  but display could have been better  camera average quality.	1
The only issue is charger not included in box	1
EXCELLENT PHONE........AT THAT PRICE.....BATTERY LIFE .....AND SPEAKER JACK QUALITY...SUPERB....NEW USERS AND BEGGINERS ARE ALSO GO WITH SAMSUNG.....ACCTUALLY I M BIG FAN OF SAMSUNG...	1
Good	1
Good	1
Processor  Fingerprint sensor response time  OneUI  etc.	1
Good	1
Good and budget phone under   999	1
Good	1
I like this product and recommend for everyone.	1
Money s worth	1
best performance in this price	1
Charger cable received with C Pin both sides unable to charge to mobile	1
Good mobile.	1
Play Video Ordered it for my Dad. Samsung never disappoints. Decent screen and camera quality. Performance wise its so good  did not face any issue till now. Seen other bad reviews  probably they are using it with other unwanted apps  bloatwares and expecting very high end gaming performance. Even I bought only  GB RAM version and it works like a charm without any hiccups   G carrier aggregation   G reception and speed everything works fine. Only CON was I had to purchase   W adapter separately which adds additional cost because of only which giving   star rating otherwise would have given     .	1
Battery backup and camera quality good	1
Camara  superb photos    battery back also to good .. Overall superb nice products .. Thank you	1
There is no adapter.	1
Slightly heating issue	1
The mobile is functioning as expected and value for money spent	1
A great battery back up  very efficient   gb ram which ensures fast switching between different apps	1
I am not big on camera usage  personally. I was even mentally prepared for a bad camera  based on some reviews here. But I was pleasantly surprised that camera clicks good photos. They are not awesome  but they are decent photos that can even be shared.Now coming to my biggest grouse  heating issue. The phone started heating up while charging  but it was just a little and so that can be ignored. This is ok with me as  I don t perform huge data loads regularly  this phone is for more than some basic stuffs such as checking mails  attending office meeting on phone  watching a video  using WhatsApp  Instagram etc. Personally  this is good for me.At this price range  this is a good phone. But if you are camera heavy user and expect to perform heavy downloads frequently  this phone may not for you. I am personally satisfied with this phone as it works for my type of usage.Battery of this phone is one of the another good reason to buy this phone.	1
Good product	1
This phone is an overall value for money.I got the whole package for      and by whole I mean   Phone     W Samsung Adapter   Back Case  these were bought fairly recently in the sale.Coming to the Cons first  since they are very minimal  . No adapter  back case out of the box. . Kind of an outdated design   water drop notch vs punch hole  I would prefer the latter. . No ultra wide camera. . Bezels are a bit thick at the neck area. . Sort of a heavy device. . Only   W peak charging capability. . Few bloatwares pre installed  but uninstallable. . No wifi   ax9. No stereo speakers . No IR blasterNow  I have been very nitpicky here and I would only mind the first  third  eight points and to a small extent  the sixth point  since I am at heart  a performance oriented person.Coming to the Pros  this one is going to be an exhaustive list  .   years of OS upgrades  so you can see it running android    as well and thus is coupled with   years of security upgrades as well   This is huge  By the way  it is android    out of the box. . Type C to C cable included in box  futuristic. . PLS LCD panel used  better than an IPS display. . Camera performance is good for the price. .  mAh battery   no worries of charging. . Widevine L  support. . Good bright display  visible in sunlit conditions. . Good enough volume.9. Yes  A dedicated memory card support  .     G bands  future ready for sure  Also  G  carrier aggregation works well.  . Exynos      nm  ensures a good battery life and is also better than the Snapd  9  atleast on paper   Now this is a big deal   9  is the midrange king  even now and this phone offers a better processor at a much less price  unbelievable   .     GB storage  this is uncharacteristic of Samsung  they would ve given only   GB if they weren t serious about this phone.  . 9Hz display  phew they didn t forget this.  . Voice focus mode for better calls in busy areas.  . Ufs  .  storage type  speed ensured.  . Gorilla glass   protection.  . Samsung service centers being one of the best and omnipresent  you will not have to worry about device issue resolution.So  this is pretty much it. I believe the only legit competitor this phone has  at the time of writing  is Moto G   and the M   wings it effortlessly.Conclusion  I have never liked Samsung  if I am being real  but this phone gave me almost no serious lackings. So  yeah  for the first time I feel that Samsung has actually launched an immensely value for money device. It is indeed the complete package and I believe I got it at a ridiculously low price.	1
Recived without data cable  C to CNo data cable in box.Great work.	1
fantastic phone from samsung. i like it.	1
Nothing new to say  just a good old version M series mobile.. good battery  camera is optimal  storage is good. But leaving charger adapter is not ideal...	1
Overall it is good but when charging that time mobile is heating little bit. The original adapter is nearby    rupees. This mobile cost me around    . Not happy.  th may it was of   99  GB     gb and on  th May price changed to   99.	1
Mobile is good at this price.For rough use its good. Battery is also working good.   days backup there. But don t know software issue or some other date battery percentage is coming in top edge. It looks like cutting from up.	1
Nice	1
Item is ok	1
Biggest con is its display for outside use . Best budget phone. Strictly only for browsing not for gaming. Good sound quality	1
Note  outer case fibre body	1
Sir product is good. But if any problem arises within warranty period where we have to consult. How to consult. No bill is provided with this pack.	1
Mobile is overall good.But no have in accessories charger  TPU case inside.	1
Nice Phone from Samsung. using since    days. No issues faced.	1
It is good product for a low price  g phone but it s little bulky and heavy. Also  in my peice the external memory card is not readablecaution	1
one of the best and budget phone from samsung	1
In normal use Phone hanging randomly  battery backup good  camera average	1
Performance good   .But adaptor not given and USB cable both side C type this disappointed. bye new adaptor extra expense and extra electronic dump.	1
Everything is good but do not expect much from this phone.Charging time and Speaker quality will slightly disappoint.but overall its agood budget phone.	1
This amount  G phone is very good	1
Good For a person who is not using too much	1
Writing after using    days.Best    mobile in this segment under   k.	1
Best budget phone with loaded features under   k. Must go for it.Not suitable for heavy game usersOtherwise its good	1
Samsung mobile very old software use this mobile ok ek problem Samsung mobile  g network automatically  g switch not come back network  g fix  g network this Samsung mobile software problem i hate software Samsung mobile network problem so plzz guess not purchase Samsung mobile	1
Very big problem I purchase this phone only for  g internet but phone don t connect  g when restart for few seconds  g connect and then down instant in  g this is very big issue I am in  g network courage area alsoEdit    got replacement and received new now in new  g work fine but in  ghz hotspot range very very low in this phone hope in future software update fix the problem	1
A really good phone at this price range good for daily usage i don t do gaming much so processor is not a issue for me .It has good screen good camera handle day today stuff with easy big batteryOnly downside is it doesn t come with a charge.One star less for thisOverall good product go for it better than unreliable Chinese mobile	1
Good budget phone.	1
Phone is working fine  camera quality also good  no hanging issue but missing of charger with phone  offline chargers are fake and online are expensive.Do something for charger provide me	1
Good phone under   k. Screen quality is good  battery backup is also good but always drops    battery whenever you trun on mobile data. There s a little problem in connectivity whenever I change mobile data from Sim  to Sim  or vice versa I have to enable flight mode to get access of internet I don t know is it happening with me only or with everyone..Camera quality is perfect    .Overall I gave    	1
Back panel is loose otherwise phone is good.	1
Phone is great as Samsung is the only company giving   year android updates  just uninstall all extra apps that Samsung has pre installed and also go for  gb model.	1
It s a good budget phone  good ram  gb however one must note anything less would be troublesome as new UI needs ram  maybe the google android version takes up more ram just like windows ....Camera is good under proper light conditions   not for dark areasWill update further after some usage	1
Seems quality product	1
In courier warranty card not available.	1
Little price hike	1
Over all good product in this price range  far better then the other Chinese brands.Perfect looksGreat battery lifeDecent camera	1
Value for money	1
I love it now Samsung works also on budget phones..In this segment it s nice product .	1
Samsung quality	1
Good features within this budget	1
Very nice product	1
The only negative is LCD display.other things are fine	1
This phone says battery is   but it gives power backup for only       hours so the battery is not much good   this battery makes this phone heavy if u willing to buy this phone for battery backup then Don t hut if u want to purchase phone with good features   brand then go for this.	1
I purchased on the day it released into market. . Delivery  I order from Amazon around   pm and received at    pm. . Pros  good Battery backup long lasts for   day for me  Exynos    processor good for low setting gaming  no heating issue till now and no hanging problem  camera both good quality for money. . Negative  they won t provide charger along with phone  slow charging.When compared other brands  for   k  It s good.	1
Camera satisfied.Battery continue arround   hours with minimum required diplay brightness. SatusfiedFacing a problem...sometime during youtube video or facebook streaming  the goes off...need to go to home for get the sound again.Adapter price arround    extra	1
Good       	1
Good phone. Battery back up is good. Speed is decent. Touch is excellent	1
I like this phone. Camera quality is good. Phone is lightweight	1
Most things on this phone is good but this phone doesn t support gcam. Cam picture quality is very very bad. Do not buy it for camera. My old xi 9 phone has better camera. BAD PICTURE QUALITY EVEN IN  MP PHOTO.	1
Selected for my son s request. He is very happy after receiving the phone parcel.	1
 . When battery is your priority because of   mah it is heavy. . Battery I am testing I will update after some time. . Screen brightness is way less than my   years old which. . Speaker quality is average.Otherwise smooth and we ll balanced phone camera is also decent.	1
Product is OK. But the C type charger cable does not function despite trying with many adapters. I was forced to use a suitble cable from a friend.	1
Amazing mobile in this price  decent camera  best battery life  beautiful display..smooth processor  lag free. Value for money.	1
Value for money	1
Finger print is very fast.Battery backup good.Camera goodOverall performance gud	1
I like	1
 Budget phone   	1
 st Amazon delivered it in less than    Hr that too in a Tier   city.  Phone is actually very good ok build quality and feels nice in hand.Teal green colour looks refreshing.Camera is above average for the segment.Call quality is very good with voice mic boost option  even in public crowded area it is clear.Only down side I feel is that quality of screen could have been better even   year old phone in the same segment has better colour gamet screens.My old MI QC .    W charger charges it quickly surprisingly support PD and QC both type of quick charging  samsung own    W charger is only      min faster.Overall a good experience for the One UI though there are some un installable apps but nothing like in Chinese competitor in this category.At this price Samsung should have gone with a better screen  it would have made this phone a deal breaker in the segment.	1
Best fone	1
I bought this phone at a price of    9 with a card discount of  . Now after   days  I can see I could have got the same device at    9. Can t trust these companies of price point of view.By the way  phone is really good. Battery is best  way better than flagship S   which I already use. Speed is decent  multitasking is also good. Loving the experience.	1
No slo mo. No item removal in photos despite being a latest model. Budget friendly phone though.	1
you have not given the adaptor for charging the mobile. If you had given me the adaptor the mobile should be the charged.Add the amount of the adaptor cost.	1
    defactive                                     speaker                   	1
I M SEARCHING FOR GOOD BATTERY BACKUP PHONE AND I FOUND  A GOOD  G PHONE  GOOD BATTERY BACKUP  GOOD DISPLAY SOND IS TOO LOUD AND CLEAR I WOULD SAY PERFECT    FOR FAMILY MEMBERS WHO HAVE NOT MUCH USAGE OF PHONE.I M REVIEWING AFTER   DAYS OF USE  I CALLED MORE THEN   HOURS   LISTEN SONG MORE THEN   HOUR  PLAYED GAMES   HOUR  PLAYED YOUTUBES MORE THEN SEVEN HOURS  I DID THIS ALL TEST DIFFERENT DAYS AND BATTER IS LAST LONG.IF MY PARENTS US THIS PHONE BATTERY LAST LONG   DAYS..WITH CALLS AND MUSIC.ALSO GOOD FOR GAMING   I HAVEN T FOUND ANY ISSUESPERFECT BUDGET PHONE  MUST BUY IF YOU HAVE NORMAL USAGE..NO NIGHT BATTERY DRAINS IS PLUS POINT.FEATURES ARE AWESOME WHEN IT HAS HEAVY USAGE AND FOR COOL THE PHONE DARK THEME WILL AUTOMATICALLY APPLIED EVERYWHERE .	1
Camera is waste at this price. Even a      K range mobile Realme can give the best photos than This... Totally disappointed with the camera s resolution	1
I am little bit confused. its waking perfectly but after some day display start flaking. But overall ph is good. U can go for it. Samsung display are usually good.	1
Compared to f  This one lags.Bought this for  g	1
Play Video	1
Battery is   mAh but not working accordingly. It is     in the morning and by   in the evening it comes down to     . That too on normal usage u.e no gaming or watching videos.	1
I bought two M   together  but both are having different screen display . I have not installed any applications or updates  and checked whether all the settings are same or not  but still the display light is different from both the phones. One ja yellowish white and other is normal white. Anyone noticed it 	1
I think M   is better than this. This phone heat too much may be software is not very compatible to hardware right now and over the time it may get better but speculation is a different thing and what we are right now is not enough and have many issues.	1
Network issue problem with camera very bad   	1
Call Audio quality is poor	1
No screen mirroring smart screen 	1
Mobile heating when small game playing. Waste of money . Opt other mobile brand. Really disappoint with mobile.	1
Camera is rubbish	1
Good mobile	1
Selfie not good pic	1
Very less volume	1
Phone is okay in the budget. Good battery backup. Okay okay Performance sometimes hangs. Side button not working perfectly	1
Cons   Some times getting network issues and   Device hangup while receiving calls...  Camera is just Ok.Pros   Battery Backup	1
Overall a good budget phone with a decent camera and great battery life.Pros  . Display is good at this price point as it supports FHD    Viewing angles are great infact.Thanks to 9hz refresh rate which make the scrolling smooth.Bezels are bit thick than usual phones at this price range. . Great battery  mah   Even with the heavy usage I m getting   9hrs of screen time. With moderate use I ll get around  hrs.Charging typically take      hours to fully charge.I recommend to maintain a charging cycle of       as recomened by samsung. . Camera   Main camera takes good pics   It maintains a balanced dynamic range  portraits are also good for this budget price. Blurs both humans as well as objects.I m disappointed with the vanish of wide angle camera. Instead of dept and macro they could have provided a wide angle cam. . Performance is good for the price range. Casual gaming does the job fine. Can t rely for heavy games. .  . mm headphone jack is a blessing from samsung which most of the companies ignore. . Speaker is loud n good but now good as stero. . Voice focus works well too in noisy environment. . All the    essential  G bands are available which a good with  OS upgrade and  yrs of security patch.But no NFC  no Carrier Aggrigation support.Also no IP rating.I will recommend for people who mostly use the phone for media consumption more and moderate users who don t do gaming.	1
there is no smart view optionand screen sharing option	1
Camera is poor . Rest OK.	1
Only phone no charger.	1
Good. But charger must be given with Samsung mobiles.	1
Finally got  G supporting worth smartphone at this price which do supports both Airtel and Jio  G with    Bands compared to other who either support one and doesn t support other one  Also Battery capacity doesn t disappoints but makes phone bit bulky. It s made for those who prefer other activities over game. Binge watching plus IPL is an great experience with this device.So go for it but only if you are ready to spend another max. Rs.   approx because you don t get charging adapter which costs Rs.   on online platforms and their own website. Also if you want a good case you have to spend another Rs. 99 but if you already have   W   W adapter Power Bank with Type A to Type B then just purchase boAt USB Type C Cable   A  .  m A   cable it s worth buying at cost of Rs.99 Delivery Fee of Rs. .	1
Sometime automatically hanging without using	1
Okey..	1
No charger  No Screen guard  No backcover	1
I bought it at Rs.   and it has all the features . Samsung is a good brand with very strong battery support. I am using it for a month now and it is working fine. I recommend this set.	1
Phone is so good but battery    are not	1
Writing a review after   days of very light usage. The phone does as advertised.Pros . Call quality Excellent. A phone is a phone after all and I like the voice clarity in this phone. . Apps  no crashes . Transfer of data from old phone Done with no trouble with Smart Switch. Whatsapp data transfer was quick with  G network. . Screen Brightness good for outdoors . Battery still     remaining after first charging   days ago.Cons . The screen does not go completely black as in AMOLED displays. . The  G is at best a experimental network. Jio says unlimited  g. I have seen download speed upto     Mbps but uplaod speed is less than   Mbps  but the main problem is not speed. The battery starts to drain like anything once I connect to  g network say    in about   minutes while updating aps in playstotre. Please read the article  Samsung phone battery drains quickly on  G service. This is true for any  G phone. Also the phone warms up during connecting to  G network and heavy downloading. So I have kept the power saving switch on and switch it off when I need to connect to  g services. . Bloatwares are holding on tightly. I will have to find ways to eradicate them.Overall I find this phone working nicely  so   Stars. Bought it for Rs  99.	1
One demerit of the phone is heating.Even very low usage of data on only gets heated.Except that everything is good.	1
This I a good phone can t say value for money but it s OK serves the purpose of office use	1
There is no more option in camera.	1
Average features. Wrongly hyped. Don t pay more buy in extreme discount or sale only. Not worth price mentioned.	1
From the first day battery is draining fast.   battery is drained with few hours of usage	1
on that price  you can takefront camera quality is not so good  especially in low light	1
It s a gem at its price point. Go for it blindly. It will never dissatisfy you at this price bracket. What phone Audio  Display  Camera  Battery. Only one con   Samsung should provide charger and case inside the box.	1
The phone is superior in all aspects. I highly recommend buying a screen protector and case along with the phone  even though it has gorilla glass  . It runs One UI core  .  even then it has many features. Also if you are confused between M   and F   lemme tell you that both of them are exactly the same with the only difference being that M   has an extra camera which isn t much useful if you ask me.	1
TRY BUYING M    GB VARIANT FOR PERFORMANCE REASONS.Pros  Good  g connectivity.    Battery is goodstill can not work for straight   days without charging  .Screen size and display quality is very good.Ice silver color is cool design.Ui looks so good.Works smothly for normal task but gaming heats the phone.Best result of camera in daylight photos and videowith stability.Cons Camera is average qualityin low light or at night time.Does not have screen recording and speed meter feature.No three finger screenshot.Takes   . hr to fully charge.Heating while gaming.	1
I love samsung mobiles. Samsung never disappointed me anytime. I am samsung user for last   year. When I am looking to upgrade my mobile to  g. I have choosen this mobile and purchased       with no cost emi on sale. Using last month I doesnot find any issue.	1
First of all I used this device for business purposes  Battery is best part of it almost   days still    remaining  I use whatsapp  youtube  Google Chrome  calls and sometimes camera. All this work like a charm.Look and Display are very nice  Display is big enough for your daily work and to keep in your pocket. camera is batter then other Chinese variants  it has gorilla Glass protection and no IP protection means you need to protect it from water splash.Battery In whole night only use     no bloatware  clean os  not any false battery draining.I used Jio  G works like butter in Mumbai.Used this phone for   days there is no lag I found in any software  software opening is fast.Overall it s best phone for day to day life work and business purposes. I have   GB variant.Again thanks to samsung for providing this marvel for such a budget cost.Amazon delivery is fast delivered on second Day.	1
It s too much heating within few minutes of use	1
Phone started restarting after vey days of usage	1
Battery is good bus camera picture quality is not good	1
Everythings perfect as per the value.Just the charging is too slow	1
At this range not bad.	1
Ok	1
  day battery in normal use   samsung quality and smoothness of software  no bloatware like some other phones   phone works very fast  fast charging works very good with  W apple i pad charger.	1
It s up to date. Large screen. Higher storage capacity. Higher capacity RAM.  G. Habituated to using Samsung and hence the confidence on the product.	1
Play Video	1
Good phone in its category in budget segment. Special highlight is it s monster battery Above average camera and ok type performance. This phone is not for a gamer photographer because it can provide you everything in its limit. Never compare it with Galaxy S   Ultra or iPhone    like performance and feature. It is just like comparing Alto with BMW or Ferrari. Where Alto is best known for its mileage this phone is best for its battery endurance.I have bought this for my father and very happy to say that it suites for him for his daily needs. If you are a normal user then go for it without any doubt.	1
I like the color of the mobile. As expected  the battery standby is good. It is suitable for long time users.	1
Disappointed as it s Thik in size and slow in performance as same as all Samsung phones.I just preferred because it s non China Phone and its UI.	1
Awesome mobile from Samsung. In this price it s a good package  specially for the people  who don t want any Chinese phone. SOFTWARE is a big highlight of this smartphone. In addition it powered with   mah battery. Though  G is not stable  it s providing better connectivity than other  G phones. Overall it s a excellent Experience.	1
Camera quality is awesome  display is awesome  speaker is average  connectivity is awesome  overall good phone	1
Great phone at this price  awesome battery backup  little camera bump  nice weight distribution.With    watt charger it takes almost    mins to charge  to   .Also it has   nos.  G sim slot with micro SD card support and  .  mm head phone jack.Overall good phone for normal day to day uses with awesome battery backup.Its battery protection feature I like most.	1
Phone without charger	1
Good phone at this price. Not so great as per the hype created before launching the phone.	1
The phone is good in all respect. There is nothing to dislike. It is value for money	1
It  frequently got stucked while working. Want to return	1
Good Quality Samsung Galaxy M     G  GB    GB Like   	1
